Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19pBR50(3B),MVWB757J**,4.8,1.57,6.5,36.3,No,No,http://www.whirlpool.com/manuals
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM510(3B),2713*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBj57(3B),MVWC565F**,4.2,1.57,6.5,46.1,No,No,http://www.whirlpool.com/manuals
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pCJ52(3B),2513*41*,4.3,1.57,6.5,47.1,No,No,http://www.kenmore.com/energyguide
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pCJ55(3B),2513*41*,4.3,1.57,6.5,47.1,No,No,http://www.kenmore.com/energyguide
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ51(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ53(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ54(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ56(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No,http://www.whirlpool.com/manuals
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ57(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ50(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM59(3B),2613*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ53(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ56(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ57(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ58(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals
